Wall time,Step,Value
1749790568.2517128,57728,100.0
1749790575.7613516,75136,100.0
1749790579.3111744,83072,49.0
1749790579.3516524,83200,100.0
1749790582.6619377,89600,100.0
1749790585.4835656,94592,69.5
1749790585.7652564,95616,84.0
1749790588.519896,99712,100.0
1749790592.293772,107392,93.0
1749790594.2094514,108928,61.0
1749790595.4154546,112768,100.0
1749790597.826715,116096,42.0
1749790601.447394,122880,100.0
1749790602.2965543,125568,88.33333587646484
1749790604.8878348,129664,48.0
1749790605.0944712,130304,99.5
1749790608.2407389,135424,100.0
1749790612.1657906,143872,100.0
1749790613.1850922,147200,100.0
1749790615.4004965,149632,42.0
1749790616.0086126,151552,63.0
1749790618.6276317,155264,100.0
1749790619.893927,159104,49.5
1749790627.450155,160512,100.0
1749790627.8020935,161408,50.0
1749790629.3649821,165632,47.0
1749790632.217896,169216,100.0
1749790632.5136948,170112,63.0
1749790632.7036994,170752,78.0
1749790635.0905316,173312,94.0
1749790635.4777806,174336,72.0
1749790638.8665266,179328,59.0
1749790643.0438356,186112,53.5
1749790643.4327793,187136,100.0
1749790643.5546203,187520,32.0
1749790644.2322495,189312,100.0
1749790645.143917,192000,91.625
1749790650.6480896,198912,40.0
1749790654.5652761,205696,71.0
1749790655.1710825,207232,17.0
1749790658.2289252,211712,82.33333587646484
1749790662.4813356,219264,100.0
1749790662.8901272,220416,66.33333587646484
1749790663.973783,223360,100.0
1749790669.7835407,231424,60.25
1749790673.7446373,239232,52.0
1749790674.8076031,241792,24.0
1749790676.8640778,243328,100.0
1749790677.4277601,244992,44.5
1749790678.3858173,247808,100.0
1749790680.7239184,250240,45.333335876464844
1749790682.7482135,255616,60.0
1749790682.8521166,255872,62.5
1749790685.3082922,258176,35.0
1749790685.720721,259072,64.0
1749790686.9480124,262144,100.0
1749790687.989047,263936,64.5
1749790688.5508068,265600,24.0
1749790688.6438353,265856,51.66666793823242
1749790689.0454662,267008,100.0
1749790692.3845344,272128,24.5
1749790695.585349,276864,32.25
1749790695.6901524,277120,31.0
1749790695.8775952,277632,50.0
1749790696.369265,279040,39.66666793823242
1749790696.5550754,279552,41.5
1749790700.6618483,286592,34.5
1749790703.2788637,289664,65.42857360839844
1749790704.7778666,294144,100.0
1749790708.2428558,299776,17.0
1749790711.7482054,304896,48.333335876464844
1749790711.7946134,305024,45.333335876464844
1749790715.3087928,309760,20.0
1749790716.1873114,312064,19.0
1749790716.3571832,312576,20.33333396911621
1749790719.5712082,317312,100.0
1749790719.809846,317952,79.75
1749790720.5476754,319744,100.0
1749790728.6437864,322304,47.66666793823242
1749790729.1542547,323712,38.75
1749790731.4261734,327808,59.5
1749790731.795101,328832,22.0
1749790734.948582,333440,100.0
1749790735.683147,335488,60.0
1749790736.5016086,337792,19.0
1749790736.5935209,338048,100.0
1749790736.917407,338944,45.66666793823242
1749790741.811708,348032,100.0
1749790747.0280533,357376,45.333335876464844
1749790749.1651568,359040,21.0
1749790749.5782204,360064,59.5
1749790751.1077921,364160,23.0
1749790751.2472513,364544,22.666667938232422
1749790753.1143646,365440,19.33333396911621
1749790754.6979883,369536,39.75
1749790757.220146,372096,38.75
1749790757.2724884,372224,32.0
1749790758.2489944,374528,25.5
1749790766.3063047,386944,29.0
1749790766.7892432,388096,21.0
1749790767.3157876,389504,45.66666793823242
1749790769.3790622,391040,41.0
1749790778.012459,405376,18.83333396911621
1749790779.541393,409600,43.66666793823242
1749790786.4325995,420608,43.833335876464844
1749790789.4978864,425856,73.0
1749790792.8364782,430592,45.5
1749790796.577344,436096,100.0
1749790796.8259826,436736,43.66666793823242
1749790797.4771662,438528,49.0
1749790797.8644114,439552,14.5
1749790798.018423,439936,18.5
1749790800.123878,442496,15.666666984558105
1749790801.2879112,444928,100.0
1749790802.0837977,446848,18.0
1749790804.2099411,448512,15.5
1749790806.881728,454656,59.5
1749790806.9342365,454784,17.0
1749790808.0907784,457472,58.0
1749790810.0844724,461184,71.33333587646484
1749790810.5201879,462208,16.5
1749790810.972652,463232,100.0
1749790814.8223283,468480,17.0
1749790815.3985655,469888,36.400001525878906
1749790816.2274086,471808,57.0
1749790816.672694,472960,17.33333396911621
1749790818.2627943,475136,57.0
1749790818.5863404,475904,43.0
1749790819.3288722,477568,42.0
1749790819.4192,477824,18.5
1749790819.4697506,477952,15.333333969116211
1749790820.1139255,479616,33.20000076293945
1749790828.1874654,481792,16.33333396911621
1749790829.584019,485376,26.285715103149414
1749790831.30674,488320,14.600000381469727
1749790831.782281,489600,56.0
1749790832.5708537,491904,28.666667938232422
1749790838.3460765,499712,29.33333396911621
1749790839.85408,503680,17.166667938232422
1749790840.3200438,504960,16.625
1749790841.8002706,506368,17.33333396911621
1749790846.5958962,514816,32.0
1749790850.865437,521344,19.5
1749790850.9156432,521472,66.20000457763672
1749790852.0522323,524288,16.75
1749790852.1583555,524544,51.400001525878906
1749790853.3680909,526464,14.0
1749790854.9343677,530048,100.0
1749790856.8521993,533888,15.0
1749790857.826495,536448,20.200000762939453
1749790858.1652682,537344,15.5
1749790859.8361967,539776,14.333333969116211
1749790859.9718637,540160,31.80000114440918
1749790860.8810112,542848,15.5
1749790863.3360918,546048,36.75
1749790863.4818306,546432,15.285715103149414
1749790866.6559956,551296,13.800000190734863
1749790870.4507267,557696,15.800000190734863
1749790873.0014312,563968,30.200000762939453
1749790877.243613,571264,14.0
1749790878.2369099,574080,14.0
1749790878.2805774,574208,42.16666793823242
1749790878.6204593,575232,19.5
1749790879.6374638,576384,16.428571701049805
1749790880.8891535,579840,37.85714340209961
1749790883.1176755,585088,71.0
1749790883.2736983,585472,66.5
1749790885.5577116,589568,15.800000190734863
1749790886.3275776,591616,15.428571701049805
1749790888.5563357,596480,14.5
1749790888.7085686,596864,37.5
1749790888.9006665,597376,31.399999618530273
1749790889.2317913,598272,12.800000190734863
1749790889.3746762,598656,15.0
1749790890.311164,601216,13.333333969116211
1749790891.6639414,604032,13.25
1749790894.2594316,610304,52.81818389892578
1749790895.3297205,613120,11.199999809265137
1749790900.3782003,621696,24.125
1749790900.474706,621952,41.333335876464844
1749790901.3899238,624384,14.5
1749790904.5532155,628608,13.571429252624512
1749790905.0279372,629760,24.11111068725586
1749790905.2224422,630272,15.166666984558105
1749790905.5112715,631040,100.0
1749790906.085831,632576,16.666667938232422
1749790906.2323177,632960,28.166667938232422
1749790909.2612295,637952,14.5
1749790917.866722,642688,14.5
1749790917.9589586,642944,12.75
1749790918.395238,644224,14.0
1749790918.9027238,645632,33.5
1749790919.2079227,646400,18.0
1749790921.0662303,647296,56.0
1749790922.8021457,652032,33.5
1749790924.815883,655232,14.0
1749790925.0839064,656000,30.166667938232422
1749790925.3513577,656768,35.0
1749790925.484054,657152,36.0
1749790927.0666602,659968,14.0
1749790928.7318594,664576,14.0
1749790929.80566,665984,13.125
1749790931.6539085,670464,13.199999809265137
1749790934.734577,674304,33.0
1749790938.4640546,682240,30.200000762939453
1749790939.0453575,683648,12.800000190734863
1749790945.2328107,698368,11.600000381469727
1749790945.7198775,699776,13.5
1749790949.398384,708864,43.333335876464844
1749790949.8625546,710144,13.375
1749790950.3070147,710656,44.333335876464844
1749790951.487382,713856,41.66666793823242
1749790953.8244972,720128,14.75
1749790956.0032902,724864,12.0
1749790957.6244106,729600,17.0
1749790957.9489243,730112,21.363637924194336
1749790958.0357835,730368,49.71428680419922
1749790958.2962694,731136,13.5
1749790958.744705,732288,25.571430206298828
1749790959.8158457,735232,16.0
1749790962.5355606,741248,13.181818962097168
1749790965.2445025,748672,12.333333969116211
1749790965.9879704,748928,28.83333396911621
1749790966.150221,749440,48.20000076293945
1749790966.1932855,749568,11.666666984558105
1749790966.5391154,750592,13.833333969116211
1749790968.935384,755456,48.60000228881836
1749790970.157932,759040,15.0
1749790971.0257554,761600,15.0
1749790972.0413675,763008,13.0
1749790972.4325886,764160,13.40000057220459
1749790974.565083,768256,12.666666984558105
1749790975.0980608,769664,15.75
1749790977.8164628,776960,12.40000057220459
1749790978.6937082,779392,13.0
1749790980.1786363,781056,40.0
1749790980.634288,782208,11.5
1749790980.739247,782464,56.0
1749790983.3253863,788096,30.600000381469727
1749790983.5065958,788608,13.0
1749790984.2230058,790528,36.0
1749790984.3541672,790912,15.0
1749790984.3973668,791040,56.5
1749790987.5269394,795264,14.0
1749790988.3390965,797056,14.333333969116211
1749790995.3666809,800256,42.66666793823242
1749790996.0122383,801920,36.75
1749790996.7610533,803840,13.800000190734863
1749790997.1760304,804992,57.5
1749790997.3144171,805376,13.166666984558105
1749791000.2695296,809216,13.199999809265137
1749791001.3575034,812288,36.25
1749791001.4922967,812672,14.40000057220459
1749791004.4722774,817792,13.0
1749791004.8681397,818944,13.25
1749791007.7602656,823296,13.5
1749791010.882478,828672,13.833333969116211
1749791011.3128273,829824,34.25
1749791011.5342133,830464,13.333333969116211
1749791014.2228172,836864,13.333333969116211
1749791014.7992756,838400,16.85714340209961
1749791017.6501372,844544,33.25
1749791024.8645232,857344,44.0
1749791031.06223,865408,21.55555534362793
1749791032.3741634,868992,14.0
1749791035.1576784,871936,13.000000953674316
1749791039.437571,878464,13.875
1749791041.2519417,882816,11.40000057220459
1749791043.3858361,884480,13.600000381469727
1749791048.0487673,893312,17.0
1749791048.484133,894336,13.923077583312988
1749791050.7325773,897536,12.666666984558105
1749791051.6061997,899584,15.666666984558105
1749791052.2454548,901120,30.899999618530273
1749791055.0467966,906752,13.666666984558105
1749791058.1705904,914304,26.142858505249023
1749791058.2572482,914560,56.5
1749791060.2118576,917120,29.600000381469727
1749791060.478982,917760,11.40000057220459
1749791060.573959,918016,13.333333969116211
1749791060.663722,918272,56.5
1749791067.1251826,929024,13.428571701049805
1749791067.99343,931328,28.80000114440918
1749791069.6535268,935936,13.0
1749791070.6274414,938624,15.0
1749791073.672064,942720,15.25
1749791073.805181,943104,11.333333969116211
1749791075.0425243,946176,13.285715103149414
1749791075.0971446,946304,41.0
1749791075.3703804,946944,33.0
1749791076.478948,947584,15.0
1749791089.2668998,960896,24.285715103149414
1749791092.0192819,967936,13.5
1749791092.1522636,968320,11.0
1749791092.852336,970240,13.25
1749791093.0917296,970880,13.600000381469727
1749791093.7419167,972544,12.833333969116211
1749791094.1023448,973184,12.40000057220459
1749791094.8659205,975232,42.0
1749791095.0951867,975872,27.83333396911621
1749791095.4935727,977024,41.66666793823242
1749791096.2034576,979072,34.75
1749791099.4251187,986496,12.40000057220459
1749791102.418493,992512,13.199999809265137
1749791102.939966,993792,13.714286804199219
1749791103.9882565,996352,13.0
1749791104.5792139,997760,13.333333969116211
1749791107.280903,1003008,22.33333396911621
1749791109.319198,1008128,26.0
1749791109.7141151,1009152,26.666667938232422
1749791110.20382,1010304,24.625
1749791111.6536317,1012352,22.272727966308594
1749791113.732196,1017600,13.222222328186035
1749791114.413328,1017984,12.625
1749791114.9037466,1019392,40.66666793823242
1749791117.4687219,1025152,56.25
1749791118.2841003,1027200,36.75
1749791118.5459223,1027840,21.100000381469727
1749791118.6483183,1028096,14.142857551574707
1749791121.852253,1035264,15.25
1749791125.3319144,1043328,13.0
1749791125.493168,1043712,13.0
1749791125.7931707,1044480,13.199999809265137
1749791127.507831,1049344,12.833333969116211
1749791129.6829026,1051136,31.0
1749791131.1343095,1054848,28.33333396911621
1749791134.90902,1060736,24.375
1749791137.4855657,1063424,47.60000228881836
1749791139.28627,1067776,14.909090995788574
1749791142.3812618,1071616,26.666667938232422
1749791143.1187446,1073536,29.100000381469727
1749791145.3083234,1075328,24.5
1749791148.9447126,1082624,12.833333969116211
1749791149.5837204,1084032,13.0
1749791149.6393607,1084160,13.222222328186035
1749791151.0268185,1087744,65.20000457763672
1749791152.7175975,1088256,24.25
1749791152.8355596,1088512,23.875
1749791153.5400674,1090048,29.600000381469727
1749791154.6796758,1093120,12.85714340209961
1749791155.6284983,1094656,41.0
1749791156.048041,1095680,20.545455932617188
1749791156.3538978,1096448,15.199999809265137
1749791156.9277172,1097856,15.666666984558105
1749791157.360795,1098880,12.25
1749791157.4734051,1099136,23.55555534362793
1749791159.8486874,1104256,12.5
1749791160.3060315,1105408,14.285715103149414
1749791160.4079301,1105664,29.533334732055664
1749791160.5553083,1106048,24.571430206298828
1749791162.562856,1110016,48.79999923706055
1749791162.8309503,1110784,34.0
1749791163.5498736,1112832,12.0
1749791174.418542,1121408,33.0
1749791174.5812924,1121920,13.166666984558105
1749791175.8541007,1125248,12.5
1749791179.3468766,1130112,12.800000190734863
1749791179.3967247,1130240,12.25
1749791182.1469855,1133568,24.142858505249023
1749791183.0812824,1135744,38.875
1749791183.7162476,1137280,12.0
1749791183.9676802,1137920,12.100000381469727
1749791184.0122209,1138048,12.666666984558105
1749791184.30758,1138816,22.875
1749791186.3062148,1143040,22.44444465637207
1749791186.6656463,1143808,15.0
1749791188.6857986,1147392,12.199999809265137
1749791192.0677454,1154688,25.125
1749791195.528354,1162496,12.666666984558105
1749791195.9024837,1163520,11.125
1749791197.867777,1166592,32.55555725097656
1749791200.5073814,1172224,12.25
1749791201.551656,1175040,55.5
1749791202.4694521,1177472,46.0
1749791202.520695,1177600,26.5
1749791204.939997,1181184,30.600000381469727
1749791206.4076195,1184256,12.0
1749791207.0592818,1185920,25.375
